"","state","date","actuals.newCases","actuals.newDeaths","metrics.vaccinationsInitiatedRatio","metrics.vaccinationsCompletedRatio","metrics.caseDensity","population"
"1","AK","2020-03-01",NA,NA,NA,NA,0,731545
"2","AK","2020-03-02",NA,NA,NA,NA,0,731545
"3","AK","2020-03-03",NA,NA,NA,NA,0,731545
"4","AK","2020-03-04",NA,NA,NA,NA,0,731545
"5","AK","2020-03-05",NA,NA,NA,NA,0,731545
"6","AK","2020-03-06",NA,NA,NA,NA,0,731545
"7","AK","2020-03-07",NA,NA,NA,NA,0,731545
"8","AK","2020-03-08",NA,NA,NA,NA,0,731545
"9","AK","2020-03-09",NA,NA,NA,NA,0,731545
"10","AK","2020-03-10",NA,NA,NA,NA,0,731545
"11","AK","2020-03-11",NA,NA,NA,NA,0,731545
"12","AK","2020-03-12",NA,NA,NA,NA,0,731545
"13","AK","2020-03-13",0,0,NA,NA,0,731545
"14","AK","2020-03-14",0,0,NA,NA,0,731545
"15","AK","2020-03-15",0,0,NA,NA,0,731545
"16","AK","2020-03-16",2,0,NA,NA,0,731545
"17","AK","2020-03-17",3,0,NA,NA,0.1,731545
"18","AK","2020-03-18",3,0,NA,NA,0.2,731545
"19","AK","2020-03-19",3,0,NA,NA,0.2,731545
"20","AK","2020-03-20",2,0,NA,NA,0.3,731545
"21","AK","2020-03-21",7,0,NA,NA,0.4,731545
"22","AK","2020-03-22",1,0,NA,NA,0.4,731545
"23","AK","2020-03-23",14,0,NA,NA,0.6,731545
"24","AK","2020-03-24",6,0,NA,NA,0.7,731545
"25","AK","2020-03-25",17,0,NA,NA,1,731545
"26","AK","2020-03-26",10,0,NA,NA,1.1,731545
"27","AK","2020-03-27",16,1,NA,NA,1.4,731545
"28","AK","2020-03-28",17,0,NA,NA,1.6,731545
"29","AK","2020-03-29",12,1,NA,NA,1.8,731545
"30","AK","2020-03-30",6,0,NA,NA,1.6,731545
"31","AK","2020-03-31",13,0,NA,NA,1.8,731545
"32","AK","2020-04-01",10,0,NA,NA,1.6,731545
"33","AK","2020-04-02",3,0,NA,NA,1.5,731545
"34","AK","2020-04-03",10,0,NA,NA,1.4,731545
"35","AK","2020-04-04",13,1,NA,NA,1.3,731545
"36","AK","2020-04-05",14,1,NA,NA,1.3,731545
"37","AK","2020-04-06",6,0,NA,NA,1.3,731545
"38","AK","2020-04-07",22,0,NA,NA,1.5,731545
